CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
open_button;📂 Open;📂 Ouvrir;📂 Öffnen;📂 Otwórz;📂 Abrir;📂 Apri;📂 Öppna;📂 Otevřít;📂 Megnyitás;📂 Openen;📂 Abrir;📂 Открыть;📂 Avaa;📂 打开
save_button;💾 Save;💾 Sauvegarder;💾 Speichern;💾 Zapisz;💾 Guardar;💾 Salva;💾 Spara;💾 Uložit;💾 Mentés;💾 Opslaan;💾 Salvar;💾 Сохранить;💾 Tallenna;💾 保存
save_as_button;💾 Save As...;💾 Enregistrer sous...;💾 Speichern unter...;💾 Zapisz jako...;💾 Guardar como...;💾 Salva con nome...;💾 Spara som...;💾 Uložit jako...;💾 Mentés másként...;💾 Opslaan als...;💾 Salvar como...;💾 Сохранить как...;💾 Tallenna nimellä...;💾 另存为...
language_label;Language;Langue;Sprache;Język;Idioma;Lingua;Språk;Jazyk;Nyelv;Taal;Idioma;Язык;Kieli;语言
no_file_label;📄 No file;📄 Aucun fichier;📄 Keine Datei;📄 Brak pliku;📄 Ningún archivo;📄 Nessun file;📄 Ingen fil;📄 Žádný soubor;📄 Nincs fájl;📄 Geen bestand;📄 Nenhum arquivo;📄 Нет файла;📄 Ei tiedostoa;📄 无文件
preview_panel_title;Preview;Aperçu;Vorschau;Podgląd;Vista previa;Anteprima;Förhandsgranskning;Náhled;Előnézet;Voorbeeld;Pré-visualização;Предпросмотр;Esikatselu;预览
zoom_label;Zoom:;Zoom :;Zoom:;Zoom:;Zoom:;Zoom:;Zoom:;Zoom:;Nagyítás:;Zoom:;Zoom:;Масштаб:;Zoomaus:;缩放:
grid_label;Grid;Grille;Raster;Siatka;Cuadrícula;Griglia;Rutnät;Mřížka;Rács;Raster;Grelha;Сетка;Ruudukko;网格
background_label;Background;Arrière-plan;Hintergrund;Tło;Fondo;Sfondo;Bakgrund;Pozadí;Háttér;Achtergrond;Fundo;Фон;Tausta;背景
lang_english;English;Anglais;Englisch;Angielski;Inglés;Inglese;Engelska;Angličtina;Angol;Engels;Inglês;Английский;Englanti;英语
lang_french;French;Français;Französisch;Francuski;Francés;Francese;Franska;Francouzština;Francia;Frans;Francês;Французский;Ranska;法语
lang_german;German;Allemand;Deutsch;Niemiecki;Alemán;Tedesco;Tyska;Němčina;Német;Duits;Alemão;Немецкий;Saksa;德语
lang_polski;Polish;Polonais;Polnisch;Polski;Polaco;Polacco;Polska;Polština;Lengyel;Pools;Polonês;Польский;Puola;波兰语
lang_spanish;Spanish;Espagnol;Spanisch;Hiszpański;Español;Spagnolo;Spanska;Španělština;Spanyol;Spaans;Espanhol;Испанский;Espanja;西班牙语
lang_italian;Italian;Italien;Italienisch;Włoski;Italiano;Italiano;Italienska;Italština;Olasz;Italiaans;Italiano;Итальянский;Italia;意大利语
lang_swedish;Swedish;Suédois;Schwedisch;Szwedzki;Sueco;Svedese;Svenska;Švédština;Svéd;Zweeds;Sueco;Шведский;Ruotsi;瑞典语
lang_czech;Czech;Tchèque;Tschechisch;Czeski;Checo;Ceco;Tjeckiska;Čeština;Cseh;Tsjechisch;Tcheco;Чешский;Tšekki;捷克语
lang_hungarian;Hungarian;Hongrois;Ungarisch;Węgierski;Húngaro;Ungherese;Ungerska;Maďarština;Magyar;Hongaars;Húngaro;Венгерский;Unkari;匈牙利语
lang_dutch;Dutch;Néerlandais;Niederländisch;Holenderski;Neerlandés;Olandese;Nederländska;Holandština;Holland;Nederlands;Holandês;Нидерландский;Hollanti;荷兰语
lang_portuguese;Portuguese;Portugais;Portugiesisch;Portugalski;Portugués;Portoghese;Portugisiska;Portugalština;Portugál;Portugees;Português;Португальский;Portugali;葡萄牙语
lang_russian;Russian;Russe;Russisch;Rosyjski;Ruso;Russo;Ryska;Ruština;Orosz;Russisch;Russo;Русский;Venäjä;俄语
lang_finnish;Finnish;Finnois;Finnisch;Fiński;Finlandés;Finlandese;Finska;Finština;Finn;Fins;Finlandês;Финский;Suomi;芬兰语
lang_chinese;Chinese;Chinois;Chinesisch;Chiński;Chino;Cinese;Kinesiska;Čínština;Kínai;Chinees;Chinês;Китайский;Kiina;中文
